garageSpaces,hasAssociation,hasCooling,hasGarage,hasHeating,hasSpa,hasView,parkingSpaces,yearBuilt,latestPrice,numPriceChanges,latest_salemonth,latest_saleyear,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,lotSizeSqFt,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories
2,0,0,0,0,1,1,2,2012,305000,5,9,2019,39,0,5,2,1,3,0,1,0,6011,2601,1,0,1,1,1.266666667,2.666666667,1063,14,3,4,2
2,0,0,0,0,1,1,2,2013,295000,1,10,2020,29,0,1,2,0,0,0,0,0,6185,1768,1,0,1,1,1.4,2.666666667,1063,14,2,4,1
0,0,0,1,0,1,1,0,2018,256125,1,7,2019,2,0,4,1,0,1,0,0,0,7840,1478,0,2,1,1,1.2,3,1108,14,2,3,1
2,0,0,0,0,1,1,2,2013,240000,4,8,2018,9,0,0,2,0,0,0,0,0,6098,1678,1,0,1,1,1.4,2.666666667,1063,14,2,3,1
0,0,0,1,0,1,1,0,2002,239900,3,10,2018,27,0,0,1,0,0,0,0,0,6708,2132,1,0,1,1,1.133333333,4,1223,14,3,3,2
2,0,0,0,0,1,1,2,2020,309045,2,8,2020,2,0,3,1,2,2,0,0,0,5161,1446,1,0,1,1,1.066666667,4,1223,14,2,3,1
0,0,1,1,1,1,1,0,2016,315000,2,6,2020,36,0,3,1,0,0,0,0,0,12196.8,2432,1,0,1,1,1.233333333,3.666666667,1051,12,3,4,2
0,0,0,1,0,1,1,0,2002,219900,2,10,2018,21,0,3,1,0,0,0,0,0,5140,1422,1,0,1,1,1.166666667,4,1223,14,3,3,2
0,0,0,1,0,1,1,0,2002,225000,1,9,2019,16,0,2,1,1,1,0,0,0,3811,1870,1,0,1,1,1.166666667,4,1223,14,2,3,2
2,0,0,0,0,1,1,2,2013,194800,1,9,2018,23,0,3,2,0,0,0,0,0,5183,1422,1,0,1,1,1.2,3,1615,14,3,3,2
2,0,0,0,0,1,1,2,2016,279900,2,8,2020,32,0,3,2,0,3,0,0,0,5401,1580,1,0,1,1,1.2,3.666666667,1051,12,2,3,1
0,0,0,1,0,1,1,0,2016,250000,1,4,2019,37,0,4,1,0,0,0,0,0,4965,2281,1,0,1,1,1.2,3,1615,14,3,3,2
2,0,0,0,0,1,0,2,2005,239900,9,9,2020,28,0,4,2,1,0,0,0,0,6011,1762,1,0,1,1,0.633333333,3.333333333,1626,14,2,4,1
0,0,0,1,0,1,1,0,2003,200000,1,12,2018,16,0,4,1,0,0,0,0,0,6926,1326,1,0,1,1,1.833333333,3,1615,14,2,3,1
2,0,0,0,0,1,1,2,2010,131679,5,8,2020,54,0,2,2,1,1,0,0,0,10846,1655,1,0,1,1,1.233333333,3,1615,14,3,3,2
2,0,0,0,0,1,1,2,2000,200000,1,6,2020,25,0,4,2,3,1,0,1,0,6621,1228,1,0,1,1,1.466666667,3,1615,14,2,3,1
