zpid,city,streetAddress,zipcode,latitude,longitude,propertyTaxRate,garageSpaces,hasAssociation,hasCooling,hasGarage,hasHeating,hasSpa,hasView,homeType,parkingSpaces,yearBuilt,latestPrice,numPriceChanges,latest_salemonth,latest_saleyear,latestPriceSource,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,lotSizeSqFt,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories
111373431,pflugerville,14424 Lake Victor Dr,78660,30.43063164,-97.66307831,1.98,2,0,0,0,0,1,1,Single Family,2,2012,305000,5,9,2019,Coldwell Banker United Realtors - South Austin,39,0,5,2,1,3,0,1,0,6011,2601,1,0,1,1,1.266666667,2.666666667,1063,14,3,4,2
120900430,pflugerville,1104 Strickling Dr,78660,30.4326725,-97.66169739,1.98,2,0,0,0,0,1,1,Single Family,2,2013,295000,1,10,2020,Agent Provided,29,0,1,2,0,0,0,0,0,6185,1768,1,0,1,1,1.4,2.666666667,1063,14,2,4,1
2084491383,pflugerville,1408 Fort Dessau Rd,78660,30.40974808,-97.63977051,1.98,0,0,0,1,0,1,1,Single Family,0,2018,256125,1,7,2019,Agent Provided,2,0,4,1,0,1,0,0,0,7840,1478,0,2,1,1,1.2,3,1108,14,2,3,1
120901374,pflugerville,1025 Strickling Dr,78660,30.43211174,-97.66165924,1.98,2,0,0,0,0,1,1,Single Family,2,2013,240000,4,8,2018,Agent Provided,9,0,0,2,0,0,0,0,0,6098,1678,1,0,1,1,1.4,2.666666667,1063,14,2,3,1
60134862,pflugerville,15005 Donna Jane Loop,78660,30.43736839,-97.65686035,1.98,0,0,0,1,0,1,1,Single Family,0,2002,239900,3,10,2018,Agent Provided,27,0,0,1,0,0,0,0,0,6708,2132,1,0,1,1,1.133333333,4,1223,14,3,3,2
2080105342,pflugerville,14908 Spring Hill Ln,78660,30.43777466,-97.65618134,1.98,2,0,0,0,0,1,1,Single Family,2,2020,309045,2,8,2020,Broker Provided,2,0,3,1,2,2,0,0,0,5161,1446,1,0,1,1,1.066666667,4,1223,14,2,3,1
241932337,pflugerville,14009 Cantata Ln,78660,30.4146843,-97.64339447,1.98,0,0,1,1,1,1,1,Single Family,0,2016,315000,2,6,2020,Broker Provided,36,0,3,1,0,0,0,0,0,12196.8,2432,1,0,1,1,1.233333333,3.666666667,1051,12,3,4,2
60134835,pflugerville,15009 Drusillas Dr,78660,30.43940353,-97.65803528,1.98,0,0,0,1,0,1,1,Single Family,0,2002,219900,2,10,2018,Agent Provided,21,0,3,1,0,0,0,0,0,5140,1422,1,0,1,1,1.166666667,4,1223,14,3,3,2
60134833,pflugerville,1104 Traci Michelle Dr,78660,30.43909645,-97.65795898,1.98,0,0,0,1,0,1,1,Single Family,0,2002,225000,1,9,2019,Agent Provided,16,0,2,1,1,1,0,0,0,3811,1870,1,0,1,1,1.166666667,4,1223,14,2,3,2
83827468,del valle,6808 Plains Crest Dr,78617,30.16070175,-97.63812256,1.98,2,0,0,0,0,1,1,Single Family,2,2013,194800,1,9,2018,Agent Provided,23,0,3,2,0,0,0,0,0,5183,1422,1,0,1,1,1.2,3,1615,14,3,3,2
241932327,pflugerville,1100 Oblique Dr,78660,30.41493416,-97.64328766,1.98,2,0,0,0,0,1,1,Single Family,2,2016,279900,2,8,2020,Agent Provided,32,0,3,2,0,3,0,0,0,5401,1580,1,0,1,1,1.2,3.666666667,1051,12,2,3,1
